第1道答案: 9’2051/4181
第2143道答案: 43’131/916
第2144道答案: 15399/232918
第2145道答案: 1860215/3308884
第2146道答案: 1’11368889/16127668
第2147道答案: 2’2480159/15740345
第2148道答案: 19719/198383
第2149道答案: 3’28801/35919
第2150道答案: 2’34255/55013
第2151道答案: 462179227/775215273
第2152道答案: 109094474/496629831
第2153道答案: 16352/204655
第2154道答案: 2’30509/119298
第2155道答案: 4526891/4769456
第2156道答案: 4’31648253/36568125
第2157道答案: 1’17534/127075
第2158道答案: 726382999/1688877545
第2159道答案: 2559515/5426761
第2160道答案: 1’59921807/72443376
第2161道答案: 1’6815/11466
第2162道答案: 3’118661/146949
第2163道答案: 11’789419/1799888
第2164道答案: 1’468163/1518412
第2165道答案: 347045/407404
第2166道答案: 102’413849/3711838
第2167道答案: 8’69426/74671
第2168道答案: 2’2977/3002
第2169道答案: 8’28375/52866
第2170道答案: 1’69/100
第2171道答案: 199249/330378
第2172道答案: 80765/376872
第2173道答案: 856/7225
第2174道答案: 3’18301/59909
第2175道答案: 127’53/266
第2176道答案: 50’5398/9425
第2177道答案: 154546591/242799663
第2178道答案: 3869/76230
第2179道答案: 1’166331705/384908469
第2180道答案: 1’1109/12256
第2181道答案: 100998/119497
第2182道答案: 2’10355/28928
第2183道答案: 2329/3640
第2184道答案: 2’8179/16038
第2185道答案: 15930/68761
第2186道答案: 1’11449189/159190784
第2187道答案: 223652876/994928375
第2188道答案: 4’86584/160173
第2189道答案: 8827/73805
第2190道答案: 1363/82663
第2191道答案: 12’1698445/4289148
第2192道答案: 2’3216814/30098705
第2193道答案: 23’10649/15576
第2194道答案: 32391232/46761641
第2195道答案: 4’657997/32574924
第2196道答案: 2’203850432/275474809
第2197道答案: 551830887/1301273164
第2198道答案: 4’42461/173124
第2199道答案: 4’11889/17404
第2200道答案: 66’159919/224394
第2201道答案: 21399/76766
第2202道答案: 1’85301951/86537098
第2203道答案: 2449195/4658994
第2204道答案: 8’92981/188512
第2205道答案: 31199/209595
第2206道答案: 16’1021/1044
第2207道答案: 3’4001/75174
第2208道答案: 1’2264917/3440892
第2209道答案: 2’2433/3367
第2210道答案: 9633/27685
第2211道答案: 2’472775/1580928
第2212道答案: 6’240911/311304
第2213道答案: 2’854557/2063796
第2214道答案: 58504/112887
第2215道答案: 8’122901/514418
第2216道答案: 7’66425/85008
第2217道答案: 24826/93291
第2218道答案: 14155505/20685799
第2219道答案: 4’28909/31354
第2220道答案: 2657931/3328132
第2221道答案: 6’491/1460
第2222道答案: 10645/13021
第2223道答案: 1’52345/332304
第2224道答案: 1749/131990
第2225道答案: 54843/80698
第2226道答案: 4’3237863/18305872
第2227道答案: 1’81829703/673654879
第2228道答案: 371494/593285
第2229道答案: 2’153811/273170
第2230道答案: 48389/797867
第2231道答案: 127885349/135514225
第2232道答案: 2’54089/55687
第2233道答案: 6’205137990/248602409
第2234道答案: 126936/227495
第2235道答案: 104891/439447
第2236道答案: 2’12728413/27370910
第2237道答案: 63252313/152025200
第2238道答案: 13949/30358
第2239道答案: 3’1511/4508
第2240道答案: 5’1761637/7405376
第2241道答案: 177615157/289483983
第2242道答案: 19466/43053
第2243道答案: 6’51999/84665
第2244道答案: 96661/122605
第2245道答案: 207552191/333824702
第2246道答案: 1’2932399/16728525
第2247道答案: 18’851357/2087515
第2248道答案: 16965/420713
第2249道答案: 3’6261/6538
第2250道答案: 1’2444671/5355650
第2251道答案: 1’54216951/649446944
第2252道答案: 197269/234630
第2253道答案: 436917181/1401589904
第2254道答案: 3’17277/96502
第2255道答案: 8’56347/97856
第2256道答案: 3’141651/157000
第2257道答案: 17’7123799/11694830
第2258道答案: 1’122815/331018
第2259道答案: 1’26630425/61783711
第2260道答案: 1’16430129/123036121
第2261道答案: 351/37120
第2262道答案: 2’388/12617
第2263道答案: 41291/145805
第2264道答案: 9’10330477/61578917
第2265道答案: 5’12551569/40804895
第2266道答案: 6’32797/53072
第2267道答案: 438/12125
第2268道答案: 1853734/10525713
第2269道答案: 29792/222255
第2270道答案: 4’4855/51727
第2271道答案: 4’4490321/15942420
第2272道答案: 4’23888/47215
第2273道答案: 11’1570843/4507272
第2274道答案: 37352/180589
第2275道答案: 23778475/102110787
第2276道答案: 14241281/48626717
第2277道答案: 3’8426387/64040544
第2278道答案: 11’546/7991
第2279道答案: 3’13933527/21137215
第2280道答案: 12791975/46745968
第2281道答案: 96587/111222
第2282道答案: 34263/67319
第2283道答案: 1’118850387/263586752
第2284道答案: 3217/80712
第2285道答案: 103246391/415002550
第2286道答案: 5287624/14178511
第2287道答案: 4’282715/562224
第2288道答案: 1012541/1200030
第2289道答案: 21’2891/34081
第2290道答案: 1’152890997/196658995
第2291道答案: 2’101281263/447451852
第2292道答案: 1’2543015/3356991
第2293道答案: 1’806/9955
第2294道答案: 1’120295876/144962675
第2295道答案: 18135/27104
第2296道答案: 3’743/6384
第2297道答案: 3’3190364/4811037
第2298道答案: 2’10211/88995
第2299道答案: 1’14576/18535
第2300道答案: 12870/58681
第2301道答案: 395’6365/7128
第2302道答案: 4’103/157
第2303道答案: 316200736/709148477
第2304道答案: 2’2173646/11698937
第2305道答案: 1’91551/178324
第2306道答案: 2’458758/1301839
第2307道答案: 5’1489105/3765499
第2308道答案: 6132/33583
第2309道答案: 1168726853/1233098845
第2310道答案: 837983/1035619
第2311道答案: 5929/22900
第2312道答案: 5’180331/427840
第2313道答案: 26’271/1239
第2314道答案: 24235/328962
第2315道答案: 993115991/1009225626
第2316道答案: 1’52648161/94846454
第2317道答案: 123163/164791
第2318道答案: 302412498/622799947
第2319道答案: 25912/346865
第2320道答案: 1’82422891/2051643124
第2321道答案: 7’177739/830130
第2322道答案: 1495/5082
第2323道答案: 10’56240/63933
第2324道答案: 2’3603/28690
第2325道答案: 7’1178842/1223365
第2326道答案: 2’80109304/170828199
第2327道答案: 92909093/363898300
第2328道答案: 1’13040909/15135564
第2329道答案: 187/292
第2330道答案: 4’33322368/48817685
第2331道答案: 1315/1599
第2332道答案: 1’38915/76987
第2333道答案: 2’296/2265
第2334道答案: 7546/68781
第2335道答案: 16/2625
第2336道答案: 1453/18779
第2337道答案: 5’7551/37114
第2338道答案: 666903/270164336
第2339道答案: 8’23415/28361
第2340道答案: 1’26617/65520
第2341道答案: 738271808/2121442067
第2342道答案: 4’234371/525027
第2343道答案: 8’20527/48455
第2344道答案: 2’887790/961223
第2345道答案: 1’27509/72072
第2346道答案: 23669920/25574637
第2347道答案: 271/2639
第2348道答案: 30’139481/370405
第2349道答案: 5’55/131
第2350道答案: 23’3452/4459
第2351道答案: 19164902/23904945
第2352道答案: 16663/431200
第2353道答案: 2’6265/14304
第2354道答案: 1’168517247/474401090
第2355道答案: 1385/26722
第2356道答案: 1’250049/47512575
第2357道答案: 7’1209961/2011440
第2358道答案: 1’750/959
第2359道答案: 1’130621653/202745180
第2360道答案: 6’43/165
第2361道答案: 1’19750/29391
第2362道答案: 71853/1909600
第2363道答案: 1’478153937/1439347375
第2364道答案: 1’486504/1812017
第2365道答案: 2’545326519/603424500
第2366道答案: 45427939/155197248
第2367道答案: 3’2123/2675
第2368道答案: 5’266279/324533
第2369道答案: 13’1822/6425
第2370道答案: 4’891/21953
第2371道答案: 3’8441/16530
第2372道答案: 16’1295482/2962141
第2373道答案: 1’431/2300
第2374道答案: 90’126/397
第2375道答案: 3’96001726/112570917
第2376道答案: 2’32953/136383
第2377道答案: 2’53/71
第2378道答案: 125’971/1725
第2379道答案: 510575/967436
第2380道答案: 1’29164/402755
第2381道答案: 2’53/19656
第2382道答案: 3’1585/6001
第2383道答案: 68666/192213
第2384道答案: 6565/51216
第2385道答案: 5’217/1534
第2386道答案: 2’10952021/15245688
第2387道答案: 1’655994471/1183632832
第2388道答案: 2325223/3019275
第2389道答案: 1’12461797/50139898
第2390道答案: 88851/136726
第2391道答案: 11’21553113/34950215
第2392道答案: 6’619/738
第2393道答案: 3’793231/2208345
第2394道答案: 3’137/10829
第2395道答案: 3’6387/6946
第2396道答案: 9’2327147/8838648
第2397道答案: 1’8497/38160
第2398道答案: 3481889/15328224
第2399道答案: 16’1585/8673
第2400道答案: 2’666107598/685505309
第2401道答案: 2’40483/112684
第2402道答案: 3912199/6120306
第2403道答案: 1395’99/298
第2404道答案: 260382444/464988955
第2405道答案: 4’19220/27913
第2406道答案: 3316/23065
第2407道答案: 31’63122/115453
第2408道答案: 1’14303/66868
第2409道答案: 8’19631271/176612690
第2410道答案: 31’689118/1868563
第2411道答案: 2’3706/15387
第2412道答案: 2’7902536/9705135
第2413道答案: 16405/38824
第2414道答案: 36’616/645
第2415道答案: 57826/4961451
第2416道答案: 12’1363/2176
第2417道答案: 263158170/500675699
第2418道答案: 24’21/556
第2419道答案: 49’923/4921
第2420道答案: 21917/10944000
第2421道答案: 9576/20239
第2422道答案: 33’3421/464610
第2423道答案: 3’15415/45936
第2424道答案: 368434/447167
第2425道答案: 4’21926282/82487455
第2426道答案: 6243274/12054921
第2427道答案: 1’3403/10767
第2428道答案: 895/59704
第2429道答案: 125’163/185
第2430道答案: 84’24617/397782
第2431道答案: 1’1983467/5243225
第2432道答案: 1’228649/338430
第2433道答案: 6’368/645
第2434道答案: 33745/138736
第2435道答案: 62425/385476
第2436道答案: 383448540/686348149
第2437道答案: 546’103/197
第2438道答案: 4’2668103/13294464
第2439道答案: 2375/6511
第2440道答案: 12’53474/234241
第2441道答案: 2’2853471/10723372
第2442道答案: 95’5482/34989
第2443道答案: 1’113513547/132612766
第2444道答案: 3’1637/4194
第2445道答案: 1089/1421
第2446道答案: 51646/152653
第2447道答案: 476690/519951
第2448道答案: 5887/51064
第2449道答案: 428/10209
第2450道答案: 6’26882/178665
第2451道答案: 6’9264015/16830997
第2452道答案: 5’24270105/60113416
第2453道答案: 1’17015749/349615140
第2454道答案: 1976925/4374916
第2455道答案: 749480480/978088309
第2456道答案: 11970/25181
第2457道答案: 11’133861/1385040
第2458道答案: 727132/887315
第2459道答案: 519841/4641450
第2460道答案: 4589/425606
第2461道答案: 318002/332255
第2462道答案: 286064605/344798528
第2463道答案: 3’26630/36281
第2464道答案: 4’321207/478192
第2465道答案: 1263/11500
第2466道答案: 370239/760840
第2467道答案: 172463737/181823784
第2468道答案: 6’15241109/15363526
第2469道答案: 1’91616629/185973387
第2470道答案: 2’1269553/3967656
第2471道答案: 23501/24106
第2472道答案: 6’2933/132980
第2473道答案: 23’14527365/15051584
第2474道答案: 1’25358219/54478490
第2475道答案: 1’4783/12513
第2476道答案: 31/276
第2477道答案: 13’8104453/51442520
第2478道答案: 1’19421/100534
第2479道答案: 1’243122/779085
第2480道答案: 341738963/585198438
第2481道答案: 1’9315385/520423903
第2482道答案: 4’3196/5205
第2483道答案: 3528103/33155236
第2484道答案: 227466977/895135298
第2485道答案: 10’3431431/4089152
第2486道答案: 19834/76693
第2487道答案: 601449928/746899985
第2488道答案: 2’204209893/560734790
第2489道答案: 728771585/768733174
第2490道答案: 3’1234037/4803920
第2491道答案: 1’211720647/1784822459
第2492道答案: 9’2986/4551
第2493道答案: 1’1396/4025
第2494道答案: 12970825/70392192
第2495道答案: 6’726482/3783945
第2496道答案: 1’229667/437388
第2497道答案: 19647/61306
第2498道答案: 2’49113941/224119416
第2499道答案: 207568178/477310275
第2500道答案: 10975973/53932963
第2501道答案: 5’1006573/1227306
第2502道答案: 3’5440399/15010575
第2503道答案: 47617652/385080285
第2504道答案: 6’719891/1569282
第2505道答案: 2’325392/499681
第2506道答案: 13177300/13583907
第2507道答案: 6’10770061/12819150
第2508道答案: 1’17892209/18056570
第2509道答案: 1’82412815/296879024
第2510道答案: 2’3366001/12125870
第2511道答案: 260/45657
第2512道答案: 6’5118/7847
第2513道答案: 7’642799/3060750
第2514道答案: 752549309/1676867147
第2515道答案: 12’4582453/33926704
第2516道答案: 4’97496/159467647
第2517道答案: 132465737/946863920
第2518道答案: 1’454176739/1099016100
第2519道答案: 538251252/759591205
第2520道答案: 19’171601/7934058
第2521道答案: 1612/15675
第2522道答案: 2’7258/258117
第2523道答案: 3’6200/14931
第2524道答案: 2067/4906
第2525道答案: 4’20989477/74981987
第2526道答案: 2’52816/77013
第2527道答案: 2’30681164/99435973
第2528道答案: 2’1487/1778
第2529道答案: 4’33952/36675
第2530道答案: 1’19961/46350
第2531道答案: 19’1349/1989
第2532道答案: 611302776/864996161
第2533道答案: 2627903/6523744
第2534道答案: 209047157/348812874
第2535道答案: 1’84580/621453
第2536道答案: 9145/14924
第2537道答案: 3’1249/5187
第2538道答案: 12314/43357
第2539道答案: 141573463/1892818125
第2540道答案: 1’7268/83875
第2541道答案: 3’37610714/97114017
第2542道答案: 3’137/806
第2543道答案: 18’209/1104
第2544道答案: 7’48079/53469
第2545道答案: 1’21218849/32222878
第2546道答案: 6’5259304/103756133
第2547道答案: 13’275/300097
第2548道答案: 6925041/7978355
第2549道答案: 2497664/2971311
第2550道答案: 6765/11977
第2551道答案: 699369983/2012460352
第2552道答案: 60’27729/206057
第2553道答案: 34803835/147231499
第2554道答案: 1097993/27265000
第2555道答案: 11’723/10750
第2556道答案: 3’38757/253985
第2557道答案: 1054/17331
第2558道答案: 3947398/8091435
第2559道答案: 4’30391/46101
第2560道答案: 15’10637070/58372181
第2561道答案: 3’121456701/662625608
第2562道答案: 1’12144537/13964896
第2563道答案: 3482559/7876000
第2564道答案: 4625/187116
第2565道答案: 169965483/1066411072
第2566道答案: 37855/110891
第2567道答案: 10’754/3151
第2568道答案: 7034275/33931011
第2569道答案: 168’12955/43212
第2570道答案: 114373301/139741615
第2571道答案: 2’8632394/11651035
第2572道答案: 4’667693/1238258
第2573道答案: 16’2734/8181
第2574道答案: 211145/350118
第2575道答案: 953680387/1203177248
第2576道答案: 12’35348309/79366980
第2577道答案: 1’43737/206545
第2578道答案: 31’1439/12871
第2579道答案: 16’118323/513590
第2580道答案: 43’329964/858325
第2581道答案: 2’27726092/68104985
第2582道答案: 2’128227/4477433
第2583道答案: 5’10409474/26063497
第2584道答案: 627398048/1178817697
第2585道答案: 25403/26010
第2586道答案: 179256/7516975
第2587道答案: 11375/47023
第2588道答案: 1’351/2888
第2589道答案: 1’475/491
第2590道答案: 1’62229243/1711331557
第2591道答案: 345530197/513462132
第2592道答案: 24095/36729
第2593道答案: 161/18139
第2594道答案: 132’512189/1015300
第2595道答案: 96807/125156
第2596道答案: 3’3209525/3767167
第2597道答案: 2’83360099/378272856
第2598道答案: 153862254/242048125
第2599道答案: 19188000/258325811
第2600道答案: 1’98407/120768
第2601道答案: 5’2557/134373
第2602道答案: 9’18693/61063
第2603道答案: 97383/1423325
第2604道答案: 1’7050131/15746080
第2605道答案: 114585828/385895579
第2606道答案: 1860690871/2013311356
第2607道答案: 55318113/147881975
第2608道答案: 171522/252815
第2609道答案: 28’5482679/73567796
第2610道答案: 1’624472325/1327534058
第2611道答案: 3’15482/26815
第2612道答案: 1’2637019/5482997
第2613道答案: 339861/3064607
第2614道答案: 70019/156031
第2615道答案: 9355/19716
第2616道答案: 1’58027768/341456633
第2617道答案: 357930/515197
第2618道答案: 5202288/86729665
第2619道答案: 37453/60724
第2620道答案: 1’27457/60547
第2621道答案: 8’13005131/15195168
第2622道答案: 1’3641/7636
第2623道答案: 1’621717/1556024
第2624道答案: 1058993/6586650
第2625道答案: 5’689/2006
第2626道答案: 11’2395/16056
第2627道答案: 1’827/1945
第2628道答案: 6’4861/7245
第2629道答案: 4’603/5230
第2630道答案: 43228/170931
第2631道答案: 497217092/805037805
第2632道答案: 1’208889/2690586
第2633道答案: 3076/4675
第2634道答案: 5’57632303/178407236
第2635道答案: 1482273/7955455
第2636道答案: 759484985/1305413192
第2637道答案: 2’111125185/731241564
第2638道答案: 1’225772949/327275872
第2639道答案: 35861/227286
第2640道答案: 4’4177/10530
第2641道答案: 56/5451
第2642道答案: 7’11217249/20933000
第2643道答案: 6’2018/3999
第2644道答案: 1308586769/2144849892
第2645道答案: 1’25534127/72044830
第2646道答案: 423695/3290688
第2647道答案: 1’12865982/1751500401
第2648道答案: 22’23/210
第2649道答案: 1’1654523/10559720
第2650道答案: 1’122588/156975
第2651道答案: 16546/57125
第2652道答案: 1’964959/1568072
第2653道答案: 14251/15006
第2654道答案: 467142904/1891746477
第2655道答案: 2’8260921/15506616
第2656道答案: 67’331/1682
第2657道答案: 1’2608289/6992961
第2658道答案: 197/1204
第2659道答案: 6’254/541
第2660道答案: 1’1380348/626754509
第2661道答案: 18’382/2697
第2662道答案: 2762839/6084258
第2663道答案: 32’183/253
第2664道答案: 1’17455201/32927040
第2665道答案: 853607707/875162934
第2666道答案: 285005/391632
第2667道答案: 1’45322093/242290751
第2668道答案: 1’15724652/25826269
第2669道答案: 34125/149026
第2670道答案: 7’50288/106641
第2671道答案: 41239/119040
第2672道答案: 19’317433/414178
第2673道答案: 24’2397/15260
第2674道答案: 1113/63080
第2675道答案: 2’114814/118921
第2676道答案: 1264577735/1717342154
第2677道答案: 1’3855/7282
第2678道答案: 37335/74884
第2679道答案: 9’11200411/11600290
第2680道答案: 2’316787895/363818324
第2681道答案: 2’244601729/878990693
第2682道答案: 16’26331/133930
第2683道答案: 21267/30098
第2684道答案: 2’531535/3778476
第2685道答案: 113145/137578
第2686道答案: 2’14647/38500
第2687道答案: 26’126559/141680
第2688道答案: 3230983/32435421
第2689道答案: 20’926584/995207
第2690道答案: 31’26113/38352
第2691道答案: 25’3465741/4375643
第2692道答案: 8861060/34226577
第2693道答案: 4789384/20754927
第2694道答案: 5’13/15
第2695道答案: 1’913706653/1017783232
第2696道答案: 12’212461/346647
第2697道答案: 4’4311583/12260430
第2698道答案: 6923904/145360975
第2699道答案: 368/13375
第2700道答案: 9’398795/432999
第2701道答案: 4’35323/151493
第2702道答案: 5’486787/912578
第2703道答案: 28’1549/4514
第2704道答案: 10’12367/14300
第2705道答案: 12’16553/34100
第2706道答案: 1’37867475/45657612
第2707道答案: 744124/54264769
第2708道答案: 32311237/81312660
第2709道答案: 10’6542723/9816768
第2710道答案: 17360653/56397627
第2711道答案: 2’39367/48622
第2712道答案: 2’23833489/28006146
第2713道答案: 2101/6351
第2714道答案: 11791/18921
第2715道答案: 12670677/131343644
第2716道答案: 5’14869144/26438937
第2717道答案: 1’6778/13651
第2718道答案: 286893/307720
第2719道答案: 3’699291/1132928
第2720道答案: 2’4721757/10347610
第2721道答案: 87’356491/370258
第2722道答案: 14’476441/547801
第2723道答案: 2’109713/121220
第2724道答案: 14’8771/48472
第2725道答案: 9’18835/52192
第2726道答案: 2’627031/1028454
第2727道答案: 121666053/288855160
第2728道答案: 12’18623/42300
第2729道答案: 1’38487961/211030249
第2730道答案: 25234/392175
第2731道答案: 1’74/245
第2732道答案: 1’93185171/155631654
第2733道答案: 207799039/207805824
第2734道答案: 3’3299/3612
第2735道答案: 3296289/3687253
第2736道答案: 121679/201240
第2737道答案: 1’433913/3990441
第2738道答案: 4’122096264/263907571
第2739道答案: 525’481235/1127808
第2740道答案: 3’209/280
第2741道答案: 3’1563886/4294675
第2742道答案: 44861/137340
第2743道答案: 12889/14824
第2744道答案: 23055038/29192445
第2745道答案: 241399/583770
第2746道答案: 2’225488/1142181
第2747道答案: 9’3277/6552
第2748道答案: 11’15427/1031745
第2749道答案: 5676/56213
第2750道答案: 11045/20358
第2751道答案: 495883060/1153830169
第2752道答案: 1635214/8865571
第2753道答案: 51054417/829716956
第2754道答案: 2’7534/33915
第2755道答案: 2’1200146/2020365
第2756道答案: 2’946517/2881683
第2757道答案: 38093814/208054067
第2758道答案: 1’29430207/34707340
第2759道答案: 3’209925939/573778240
第2760道答案: 6’711/805
第2761道答案: 15226/138775
第2762道答案: 1’100901/269115
第2763道答案: 6878/25777
第2764道答案: 371917/757530
第2765道答案: 1’6442228/15042699
第2766道答案: 2’28808699/59605964
第2767道答案: 66173220/349446073
第2768道答案: 12338/100293
第2769道答案: 314275/9068922
第2770道答案: 41186/44581
第2771道答案: 1’187845/316523
第2772道答案: 1’197390105/204387367
第2773道答案: 15345/15523
第2774道答案: 19’484909/1501646
第2775道答案: 5’16133/25707
第2776道答案: 1408515679/2127685665
第2777道答案: 9’283/539
第2778道答案: 2’4092/25085
第2779道答案: 2’317113/1602352
第2780道答案: 8’3211763/30908020
第2781道答案: 8591/835016
第2782道答案: 2’27037/212568
第2783道答案: 1’4795/5063
第2784道答案: 6’21282181/44473714
第2785道答案: 2’888/52403
第2786道答案: 9113/225216
第2787道答案: 351941/396916
第2788道答案: 3’4229630/14786193
第2789道答案: 21’7895119/9150477
第2790道答案: 65’15830251/16881510
第2791道答案: 20’438245/1268592
第2792道答案: 2’227844255/242283928
第2793道答案: 2’439/5000
第2794道答案: 1’428305/1147791
第2795道答案: 2’1171307/19991069
第2796道答案: 2’21802927/39658080
第2797道答案: 8’355/1863
第2798道答案: 4’16575/47696
第2799道答案: 2’66661/168976
第2800道答案: 3’109891/970557
第2801道答案: 238/757
第2802道答案: 1’577/1472575
第2803道答案: 1’366/425
第2804道答案: 1’59709713/68647428
第2805道答案: 1’19493939/174196440
第2806道答案: 3’64942/74443
第2807道答案: 2’66817258/97903809
第2808道答案: 4396/10965
第2809道答案: 1’269347/725208
第2810道答案: 870200/2570427
第2811道答案: 3’1255529/43377970
第2812道答案: 3’117075663/341251255
第2813道答案: 1’17272/54591
第2814道答案: 4’24172337/339091252
第2815道答案: 4’229863/4364444
第2816道答案: 2’32187676/67241475
第2817道答案: 20668117/73551774
第2818道答案: 2’4107899/11402864
第2819道答案: 500953/1228059
第2820道答案: 6’32/33
第2821道答案: 4’8600581/11501244
第2822道答案: 4’1518/54859
第2823道答案: 1’32755045/121895972
第2824道答案: 28’2238319/3968900
第2825道答案: 1’107166884/260565045
第2826道答案: 2’18043131/21487840
第2827道答案: 8’4960/5029
第2828道答案: 460309879/1041964560
第2829道答案: 7’29117/54312
第2830道答案: 6’568/1135
第2831道答案: 1’7024039/8881600
第2832道答案: 1037074/6716983
第2833道答案: 5’3434/41711
第2834道答案: 2’10886653/109855168
第2835道答案: 613108736/1215494247
第2836道答案: 2’13793/26461
第2837道答案: 1’150754/343875
第2838道答案: 55575/491963
第2839道答案: 896358935/1371393506
第2840道答案: 269376/32349659
第2841道答案: 335980/271245163
第2842道答案: 15105/24308
第2843道答案: 1’22551226/64044875
第2844道答案: 1’1652741/6912808
第2845道答案: 1’28623/39524
第2846道答案: 1374682633/1479935146
第2847道答案: 2707193/5982636
第2848道答案: 30631/34012
第2849道答案: 3’22847/46443
第2850道答案: 2’168123617/317318950
第2851道答案: 2464/14943
第2852道答案: 16169/10076224
第2853道答案: 5’35055/93527
第2854道答案: 1’19483/28287
第2855道答案: 1’161072995/1448311342
第2856道答案: 623’325673/391902
第2857道答案: 3’40634/71531
第2858道答案: 613704923/695907240
第2859道答案: 18’326967/422065
第2860道答案: 17’339527/3862152
第2861道答案: 1’130535255/172254144
第2862道答案: 1’25372499/390876926
第2863道答案: 5’118969297/169797523
第2864道答案: 1’31261739/88410981
第2865道答案: 1’23999403/50935756
第2866道答案: 1’17813491/32161195
第2867道答案: 41’39383/70409
第2868道答案: 1’679981837/1145808337
第2869道答案: 1’2782611/5345536
第2870道答案: 2’123933/463640
第2871道答案: 2’3924/22675
第2872道答案: 1’4822/11039
第2873道答案: 1190601137/1478210040
第2874道答案: 53083/53136
第2875道答案: 1’124823/648340
第2876道答案: 70764206/136245837
第2877道答案: 1’14741/99066
第2878道答案: 121865663/440153920
第2879道答案: 12376/71829
第2880道答案: 4’28843565/43878744
第2881道答案: 9’18123/53636
第2882道答案: 1’611853761/1134492030
第2883道答案: 2458049/3586188
第2884道答案: 2’4587/35644
第2885道答案: 46248/69215
第2886道答案: 3’113220351/564913238
第2887道答案: 3’354226991/423317856
第2888道答案: 1’7968435/12267217
第2889道答案: 8723/64605
第2890道答案: 1’58569661/415441110
第2891道答案: 14711/154908
第2892道答案: 2’177997209/726732571
第2893道答案: 4’15205/33562
第2894道答案: 2’1608967/1875440
第2895道答案: 2’195740320/221138703
第2896道答案: 2’534821/3493160
第2897道答案: 64371547/612571648
第2898道答案: 242402017/808582052
第2899道答案: 34785/104942
第2900道答案: 2’123717434/318179059
第2901道答案: 8293387/105235200
第2902道答案: 2’2143/6280
第2903道答案: 39100/122877
第2904道答案: 8’7276/15625
第2905道答案: 1’364370811/482245774
第2906道答案: 17’44469707/44646126
第2907道答案: 53218/112993
第2908道答案: 1’275121717/1376946470
第2909道答案: 2791/5454
第2910道答案: 778467559/1144637582
第2911道答案: 2’8927/13616
第2912道答案: 14’4341847/6577088
第2913道答案: 1’42044/55221
第2914道答案: 45991/162900
第2915道答案: 2’37360625/46694961
第2916道答案: 4’17681784/27062875
第2917道答案: 3’3438113/3716400
第2918道答案: 132142763/147271680
第2919道答案: 3764583/6106870
第2920道答案: 1’63601/167819
第2921道答案: 4’419463/729088
第2922道答案: 1’24755/37023
第2923道答案: 4’3866437/15302448
第2924道答案: 44283433/125203296
第2925道答案: 11’161/3264
第2926道答案: 1’625892/907633
第2927道答案: 4’25931972/78792297
第2928道答案: 31040/53947
第2929道答案: 2674727/14135034
第2930道答案: 294653/582738
第2931道答案: 1’346547/2419015
第2932道答案: 10’679/1740
第2933道答案: 4’4076912/5759687
第2934道答案: 1’3189/10475
第2935道答案: 2569545/5465579
第2936道答案: 1’2/723
第2937道答案: 24487/292026
第2938道答案: 3’5034/13957
第2939道答案: 2’5214/9139
第2940道答案: 23571/137225
第2941道答案: 102048621/224947073
第2942道答案: 1’1508103/2854945
第2943道答案: 771478/1428105
第2944道答案: 497806/1245533
第2945道答案: 119512718/362119383
第2946道答案: 1’142339/185765
第2947道答案: 2’7651/14170
第2948道答案: 155’6/11
第2949道答案: 1116182/15273543
第2950道答案: 1’41858649/1189092992
第2951道答案: 106206336/256113985
第2952道答案: 2’248479/374958
第2953道答案: 3827/4959
第2954道答案: 167727/2404240
第2955道答案: 2’232844303/822504297
第2956道答案: 1’381346369/430803440
第2957道答案: 1’42913/83058
第2958道答案: 3’21736543/91217304
第2959道答案: 1’80363/173550
第2960道答案: 1’7234190/24705879
第2961道答案: 117023/118792
第2962道答案: 4’12281/15290
第2963道答案: 70231680/87498851
第2964道答案: 2’964/2881
第2965道答案: 2686/713057
第2966道答案: 291311747/1609209002
第2967道答案: 2’10141689/254126620
第2968道答案: 1’12782147/14822253
第2969道答案: 29667/62456
第2970道答案: 34133465/118322254
第2971道答案: 1’52899/109400
第2972道答案: 1’4381163/6393536
第2973道答案: 1’130855/321233
第2974道答案: 2’98494867/182054084
第2975道答案: 134727843/505900040
第2976道答案: 107790445/124998192
第2977道答案: 60922/703917
第2978道答案: 5187/95468
第2979道答案: 83257859/89132544
第2980道答案: 6419/22145
第2981道答案: 1’4870491/220992464
第2982道答案: 7’1555934/1971375
第2983道答案: 1738/1819
第2984道答案: 222520873/389797410
第2985道答案: 60048395/95166592
第2986道答案: 827191144/958088421
第2987道答案: 870405679/1954483698
第2988道答案: 15’12457/28635
第2989道答案: 5’9709363/9987600
第2990道答案: 2’1033/11696
第2991道答案: 2’33480059/43497954
第2992道答案: 228805/392214
第2993道答案: 1’428020147/1155779437
第2994道答案: 1’1200/11473
第2995道答案: 556814323/562919020
第2996道答案: 1’108234967/251548287
第2997道答案: 2976/6097
第2998道答案: 1’220841/515167
第2999道答案: 1’43603313/111152979
第3000道答案: 1’18953561/88236342
第3001道答案: 440/2334663
第3002道答案: 213909/221387
第3003道答案: 174000/4482713
第3004道答案: 4’4189256/40628503
第3005道答案: 60549857/73385840
第3006道答案: 1’385921/388400
第3007道答案: 14226062/32909085
第3008道答案: 655815899/852415062
第3009道答案: 73’2342357/2874134
第3010道答案: 15125731/65585520
第3011道答案: 69’5084635/7421809
第3012道答案: 5’15557/30625
