第1道答案: 2878956/10223345
第2399道答案: 26’1717/8478
第2400道答案: 1’13941/26062
第2401道答案: 2’4729687/15719968
第2402道答案: 32’131/530
第2403道答案: 1’111174557/180052853
第2404道答案: 8’1693/2124
第2405道答案: 141831/1528720
第2406道答案: 396224/396305
第2407道答案: 710/957
第2408道答案: 5’130/189
第2409道答案: 8’22734601/40785808
第2410道答案: 7’6461/9825
第2411道答案: 1398681/7491770
第2412道答案: 9’63261/79120
第2413道答案: 8’4472/6601
第2414道答案: 26660/51937
第2415道答案: 3’5946745/21253266
第2416道答案: 18349/755370
第2417道答案: 1863314/3146325
第2418道答案: 3’2047547/29611329
第2419道答案: 8533790/12579273
第2420道答案: 2’1911/54778
第2421道答案: 2’1810304/10607643
第2422道答案: 46812/66445
第2423道答案: 25’555858/667439
第2424道答案: 2’296470602/606055643
第2425道答案: 1’73700189/601657010
第2426道答案: 1’8502586/12216165
第2427道答案: 1460473/2911656
第2428道答案: 93770075/160059588
第2429道答案: 1’157400603/171686546
第2430道答案: 1’184092363/1207079012
第2431道答案: 1’44457817/571037429
第2432道答案: 13’30927/53320
第2433道答案: 39695/53756
第2434道答案: 570537/611009
第2435道答案: 1’38588127/228437200
第2436道答案: 37/132
第2437道答案: 60147/174283
第2438道答案: 473/648
第2439道答案: 1’24680666/53052987
第2440道答案: 2’70908637/535863636
第2441道答案: 2’830545/954548
第2442道答案: 51516/392933
第2443道答案: 1’317249507/765402223
第2444道答案: 417164/418581
第2445道答案: 4’24547409/60796848
第2446道答案: 2406799/3914336
第2447道答案: 21’1337917/17233788
第2448道答案: 2’1660999/18089473
第2449道答案: 41’157/496
第2450道答案: 1’235479888/520429199
第2451道答案: 1’8761/10744
第2452道答案: 4’55210294/218129001
第2453道答案: 70072/88399
第2454道答案: 3583229/3600464
第2455道答案: 1’37327/163742
第2456道答案: 40’16052/54945
第2457道答案: 1’12672181/15347080
第2458道答案: 1’123159/124844
第2459道答案: 1’18623/23520
第2460道答案: 55721611/98587980
第2461道答案: 42952499/78102878
第2462道答案: 1’44688740/266779449
第2463道答案: 33089/50343
第2464道答案: 1’98909941/99464709
第2465道答案: 1’19382774/52026975
第2466道答案: 1902121717/2095359374
第2467道答案: 859/3645
第2468道答案: 272129/22990455
第2469道答案: 2’29/170
第2470道答案: 1002214898/1043245363
第2471道答案: 4’84447281/250798554
第2472道答案: 2’221/17554
第2473道答案: 11231813/11264931
第2474道答案: 4’165030269/447131822
第2475道答案: 513/2701
第2476道答案: 1’2267/2924
第2477道答案: 392’101/146
第2478道答案: 30267/35623
第2479道答案: 794144930/1117614677
第2480道答案: 179976605/564820834
第2481道答案: 1’303348524/1312371373
第2482道答案: 146219/279370
第2483道答案: 6’86/1355
第2484道答案: 940441932/1479835457
第2485道答案: 1’1457/51408
第2486道答案: 235372/821049
第2487道答案: 2’18080303/26263386
第2488道答案: 29’317/720
第2489道答案: 6763/23648
第2490道答案: 228514/553947
第2491道答案: 3’1891/318850
第2492道答案: 2’16222/35621
第2493道答案: 6’117116/197169
第2494道答案: 3’41095/61823
第2495道答案: 8535345/26040046
第2496道答案: 1’500449/750798
第2497道答案: 3117791/12567585
第2498道答案: 1’1997/6375
第2499道答案: 579072/668423
第2500道答案: 1528693/52652190
第2501道答案: 16’14579/82984
第2502道答案: 10’1406663/3055468
第2503道答案: 2’17/1650
第2504道答案: 3’6123/92480
第2505道答案: 58024531/96976551
第2506道答案: 6’3637799/8812335
第2507道答案: 2’4075/8308
第2508道答案: 2’1988603/2006837
第2509道答案: 125’111931/190146
第2510道答案: 152303/366560
第2511道答案: 20487283/101259711
第2512道答案: 6’4561/7585
第2513道答案: 5’109909/287280
第2514道答案: 100’2000/119133
第2515道答案: 1’504018153/540007258
第2516道答案: 2’11362/14433
第2517道答案: 301492479/666854020
第2518道答案: 1’16787639/674199468
第2519道答案: 4’236104733/323251074
第2520道答案: 21’4671629/5032995
第2521道答案: 14’8552/12467
第2522道答案: 15’366438/4114375
第2523道答案: 3’5631/35659
第2524道答案: 2’6619/197469
第2525道答案: 19063176/132846295
第2526道答案: 2’16311299/17215560
第2527道答案: 33325059/645776320
第2528道答案: 51477/62909
第2529道答案: 18’389997/402391
第2530道答案: 30’2042661/3205280
第2531道答案: 1’610858997/1214124780
第2532道答案: 1’463829/1285470
第2533道答案: 8’2533933/3548250
第2534道答案: 2244833/2274470
第2535道答案: 34307/69120
第2536道答案: 52/57
第2537道答案: 13’16437/24718
第2538道答案: 4’29780528/46371057
第2539道答案: 725/10584
第2540道答案: 6448/101421
第2541道答案: 3’85040327/389440059
第2542道答案: 4’746185/14759901
第2543道答案: 1’64551/172312
第2544道答案: 3430/5251
第2545道答案: 2’7178319/137361772
第2546道答案: 3’2899/7811
第2547道答案: 1’6058364/55924213
第2548道答案: 469447909/1331636434
第2549道答案: 25’28724/150955
第2550道答案: 16’6465193/31201360
第2551道答案: 15372713/20950125
第2552道答案: 4’40157351/100946237
第2553道答案: 1’8564779/10801341
第2554道答案: 8962761/1149785378
第2555道答案: 7407/20815
第2556道答案: 1’11946615/24297887
第2557道答案: 320988847/1534013646
第2558道答案: 2355885/8570012
第2559道答案: 3’15459/31097
第2560道答案: 4’761621/9855360
第2561道答案: 1’909/1036
第2562道答案: 1’2727/9550
第2563道答案: 185265167/1100734011
第2564道答案: 1’105354883/108507465
第2565道答案: 10’6497/29340
第2566道答案: 1’56503837/139441005
第2567道答案: 4’1283027/2205392
第2568道答案: 424/6061
第2569道答案: 93967/108153
第2570道答案: 22004/49585
第2571道答案: 1466309/3461323
第2572道答案: 6’24546/71369
第2573道答案: 4263/6764
第2574道答案: 3’1004219/2850850
第2575道答案: 126022/143055
第2576道答案: 57’2443/5168
第2577道答案: 16595/21156
第2578道答案: 3’2892/13699
第2579道答案: 92005’8/49
第2580道答案: 3’6940991/17790948
第2581道答案: 11599/20009
第2582道答案: 6’41211/52430
第2583道答案: 16’1266427/4138254
第2584道答案: 27780/89011
第2585道答案: 32539087/45618054
第2586道答案: 1’22151/93093
第2587道答案: 11104/4103775
第2588道答案: 1’3746/5529
第2589道答案: 10063/29040
第2590道答案: 1’36431/38181
第2591道答案: 2’5409093/6629350
第2592道答案: 452976577/771522018
第2593道答案: 69661715/121136348
第2594道答案: 849/6244
第2595道答案: 1’82566933/174849544
第2596道答案: 1135/12927
第2597道答案: 6’281/710
第2598道答案: 83466075/111947911
第2599道答案: 2’82021/505764
第2600道答案: 126352/1791325
第2601道答案: 2’39427131/366645584
第2602道答案: 1’42127/55144
第2603道答案: 2’176/871
第2604道答案: 1’111377/465253
第2605道答案: 4’4582313/5019690
第2606道答案: 8’5483/6480
第2607道答案: 6’16914/100837
第2608道答案: 44191/74520
第2609道答案: 58885877/227807766
第2610道答案: 8’1128824/15376995
第2611道答案: 2’58273/682754
第2612道答案: 7527/34124
第2613道答案: 6’19337/19836
第2614道答案: 1’444038003/1165110674
第2615道答案: 1’16658471/73377810
第2616道答案: 1’44939531/1134987072
第2617道答案: 3’1073/5520
第2618道答案: 21952/102827
第2619道答案: 2089857/6502180
第2620道答案: 6’1523/11899
第2621道答案: 56’152/161
第2622道答案: 80713109/162768950
第2623道答案: 116421/130448
第2624道答案: 4’636/20335
第2625道答案: 186940707/352526482
第2626道答案: 4’259/968
第2627道答案: 1’119730871/121170720
第2628道答案: 5100433/13381204
第2629道答案: 4’14698/23177
第2630道答案: 1237771651/2053300192
第2631道答案: 2’2307663/4352584
第2632道答案: 2’10012/36385
第2633道答案: 11’659/2294
第2634道答案: 375803/5087488
第2635道答案: 3’5579828/27431007
第2636道答案: 67817/856135
第2637道答案: 94’268/653
第2638道答案: 5’6855/17776
第2639道答案: 1’18560/68731
第2640道答案: 5’407/695
第2641道答案: 1’874790/766032117
第2642道答案: 1’1981903/5418129
第2643道答案: 11’3497/5963
第2644道答案: 1’830269555/1260791896
第2645道答案: 1919/14315
第2646道答案: 2’2203609/2215600
第2647道答案: 1’1477507/2104441
第2648道答案: 26235210/110021219
第2649道答案: 2’20024/57505
第2650道答案: 1’91/1472
第2651道答案: 15086776/392709765
第2652道答案: 7’3533/23951
第2653道答案: 193840743/1256854478
第2654道答案: 108’541/693
第2655道答案: 2249984/10515359
第2656道答案: 56442659/190366123
第2657道答案: 1’4514/5459
第2658道答案: 5’2813774/13748735
第2659道答案: 30406/56287
第2660道答案: 2’2484973/4235176
第2661道答案: 5’16501/28791
第2662道答案: 404/793
第2663道答案: 204653/211688
第2664道答案: 549005/1081706
第2665道答案: 1’6119/87780
第2666道答案: 1278337391/1648312729
第2667道答案: 9’1169/2145
第2668道答案: 1’146/161
第2669道答案: 1’36001361/299178852
第2670道答案: 2’19245838/23469537
第2671道答案: 36’8478966/15658489
第2672道答案: 14’3796109/3827304
第2673道答案: 1’51966/122657
第2674道答案: 16’2380687/19025550
第2675道答案: 3’49443370/99368451
第2676道答案: 1’31477/43808
第2677道答案: 1’9779/12405
第2678道答案: 1706811499/1861447814
第2679道答案: 142152300/270854311
第2680道答案: 620/11951
第2681道答案: 9’3665723/4623400
第2682道答案: 5’67672135/322243064
第2683道答案: 1’47620011/136231921
第2684道答案: 12028/79023
第2685道答案: 82’1019835/1332473
第2686道答案: 901491849/1423525328
第2687道答案: 60055125/73440347
第2688道答案: 1’13387/36525
第2689道答案: 1’21311/28165
第2690道答案: 67’7912/8921
第2691道答案: 80877/9476740
第2692道答案: 620/271959
第2693道答案: 143695/199716
第2694道答案: 11037297/105062020
第2695道答案: 1’58987667/84762288
第2696道答案: 1’175894/363953
第2697道答案: 4’35387/55432
第2698道答案: 258940109/559651820
第2699道答案: 383/101394
第2700道答案: 36’1650847/28383720
第2701道答案: 6’8403/156317
第2702道答案: 1’19879/79346
第2703道答案: 29237/258660
第2704道答案: 58517/111033
第2705道答案: 1’15019/376037
第2706道答案: 2’9733093/101092880
第2707道答案: 4416378/6030713
第2708道答案: 14’1541/2025
第2709道答案: 267049/377289
第2710道答案: 138825291/1883336269
第2711道答案: 126592/370173
第2712道答案: 28450439/32608248
第2713道答案: 41825/220596
第2714道答案: 507579/2865808
第2715道答案: 2’67567139/91590000
第2716道答案: 73393/115596
第2717道答案: 4’18967/21420
第2718道答案: 1’39133903/243606770
第2719道答案: 1’11459/11894
第2720道答案: 62’1177329/1327040
第2721道答案: 12293/24723
第2722道答案: 5’3267/3328
第2723道答案: 2’43018423/45312774
第2724道答案: 1’31171/79326
第2725道答案: 2479/3197
第2726道答案: 2’8203/94829
第2727道答案: 280297/622812
第2728道答案: 3’1581469/1904864
第2729道答案: 15847/159660
第2730道答案: 49994/62519
第2731道答案: 4’29/306
第2732道答案: 16472/77589
第2733道答案: 5205/26303
第2734道答案: 3’5293396/84056415
第2735道答案: 42’105799/252354
第2736道答案: 10053/12155
第2737道答案: 6’6979913/17566416
第2738道答案: 3’131845/136344
第2739道答案: 1’445590/611269
第2740道答案: 12’564/1285
第2741道答案: 2’33564651/221785480
第2742道答案: 2’6130333/57325177
第2743道答案: 146883743/159461656
第2744道答案: 4’366536/626373
第2745道答案: 30’765/913
第2746道答案: 1’145/162
第2747道答案: 2970134/4536819
第2748道答案: 6’77548555/96051752
第2749道答案: 2’399583927/781692762
第2750道答案: 1’223/7598
第2751道答案: 110682/772157
第2752道答案: 2’616657/939964
第2753道答案: 4’11668/16975
第2754道答案: 1’98993477/499521034
第2755道答案: 3’7487/8364
第2756道答案: 1’1503/2584
第2757道答案: 376838/431685
第2758道答案: 22’198/263
第2759道答案: 3059/67496
第2760道答案: 1’325/31169
第2761道答案: 1’388038271/443134800
第2762道答案: 115’26693/96280
第2763道答案: 39729/74930
第2764道答案: 4’14691099/78043576
第2765道答案: 47’8801/33642
第2766道答案: 2’642/16577
第2767道答案: 46657499/73097875
第2768道答案: 4’86/193
第2769道答案: 15’8026261/9738400
第2770道答案: 2’15343/4534600
第2771道答案: 569501952/588590665
第2772道答案: 1’3700301/30291100
第2773道答案: 23716715/1420827363
第2774道答案: 5’11836841/15089814
第2775道答案: 12’35928227/47477825
第2776道答案: 4’151899118/253752733
第2777道答案: 46637/354900
第2778道答案: 1’43/104
第2779道答案: 1’119710923/164271148
第2780道答案: 80593/330904
第2781道答案: 7’115467/140231
第2782道答案: 14260/103071
第2783道答案: 16’8228986/50100313
第2784道答案: 1’74198035/1697357656
第2785道答案: 134980/195901
第2786道答案: 16’1679/3672
第2787道答案: 101/3150
第2788道答案: 1’901105/3356752
第2789道答案: 240157/385968
第2790道答案: 5’370/741
第2791道答案: 2’74197/89474
第2792道答案: 2’35824/46903
第2793道答案: 1379007/5862400
第2794道答案: 1’35291/231469
第2795道答案: 3’98789709/106633229
第2796道答案: 278680806/1881184951
第2797道答案: 238021/1158246
第2798道答案: 14’11797/18502
第2799道答案: 2’25052/30805
第2800道答案: 1’20666945/21017584
第2801道答案: 4’185539933/309231650
第2802道答案: 3’12821453/15094800
第2803道答案: 330817/347928
第2804道答案: 3’110458791/167194562
第2805道答案: 1’1417/10914
第2806道答案: 1’32041/158814
第2807道答案: 777364304/1781425749
第2808道答案: 11312/68497
第2809道答案: 1’192315/503893
第2810道答案: 1219/1816
第2811道答案: 1’44093713/45036750
第2812道答案: 1’256868/394497
第2813道答案: 88768/177633
第2814道答案: 2475560/28166161
第2815道答案: 7202065/9593024
第2816道答案: 1’26045/75768
第2817道答案: 49725/93863
第2818道答案: 1’6949/7931
第2819道答案: 26’2573/5882
第2820道答案: 9868121/126222390
第2821道答案: 6’3202199/10688176
第2822道答案: 49612/95157
第2823道答案: 1’87/2006
第2824道答案: 171836999/489971948
第2825道答案: 2’35060485/296894368
第2826道答案: 4’6428101/6725394
第2827道答案: 1’19773889/42630390
第2828道答案: 14’2835/36332
第2829道答案: 7’77843/90965
第2830道答案: 1’25041/128933
第2831道答案: 2’83527262/983771897
第2832道答案: 3’2171033/27400107
第2833道答案: 304245799/323565446
第2834道答案: 12’684199/862845
第2835道答案: 61036465/98354061
第2836道答案: 11819212/15915825
第2837道答案: 5’4025047/7722946
第2838道答案: 44’2185437/5201273
第2839道答案: 1’20605/22167
第2840道答案: 8276494/96910213
第2841道答案: 20173725/346401907
第2842道答案: 891/3380
第2843道答案: 119629/2827550
第2844道答案: 4’6387827/12994700
第2845道答案: 134429/1665825
第2846道答案: 3’2771/8322
第2847道答案: 108862847/1483328880
第2848道答案: 1’3989/44275
第2849道答案: 13775/22008
第2850道答案: 59428/84723
第2851道答案: 179879/241945
第2852道答案: 1’3701/6715
第2853道答案: 2’192569/199288
第2854道答案: 72279189/79264301
第2855道答案: 176391369/258247282
第2856道答案: 1’643312289/1124479110
第2857道答案: 2’23269/44460
第2858道答案: 2’1789/278568
第2859道答案: 3’96893/172280
第2860道答案: 1705/14337
第2861道答案: 1’109341/191845
第2862道答案: 1’49246/68705
第2863道答案: 2’89254/183113
第2864道答案: 1’23835/86887
第2865道答案: 127403279/241306689
第2866道答案: 2’39240258/63168037
第2867道答案: 545197/106733820
第2868道答案: 112375/742126
第2869道答案: 1’45700891/276262928
第2870道答案: 2’80142401/80528328
第2871道答案: 8’9959/294292
第2872道答案: 6253/259852
第2873道答案: 2’1598123/19232304
第2874道答案: 1’24286/30461
第2875道答案: 1’140352257/142302615
第2876道答案: 116807/131744
第2877道答案: 46098171/752846294
第2878道答案: 114108/168941
第2879道答案: 1’11753/50907
第2880道答案: 1’109541/151698
第2881道答案: 1’64771069/221306883
第2882道答案: 1112463/4029550
第2883道答案: 2’1048/5287
第2884道答案: 7291/27918
第2885道答案: 37658/50091
第2886道答案: 4985085/7338656
第2887道答案: 74929/93390
第2888道答案: 888115181/933435486
第2889道答案: 4’179311/258382
第2890道答案: 1’2269/5130
第2891道答案: 3’24805/63651
第2892道答案: 20’208789/365355
第2893道答案: 1’64427/132379
第2894道答案: 152’44317/544732
第2895道答案: 2’16530550/116378521
第2896道答案: 51743/346796
第2897道答案: 23551/43470
第2898道答案: 2’628467899/741326656
第2899道答案: 12’5899/7020
第2900道答案: 3’19003/24752
第2901道答案: 4’58655/60214
第2902道答案: 6’23945/45507
第2903道答案: 1’143677/403170
第2904道答案: 10’3112027/20599458
第2905道答案: 3’1113/3404
第2906道答案: 137487303/226603264
第2907道答案: 371084823/1967961250
第2908道答案: 9’825/5068
第2909道答案: 51398217/349217740
第2910道答案: 1’14815788/16008685
第2911道答案: 18’542067/1100384
第2912道答案: 658/2925
第2913道答案: 5454777/13014296
第2914道答案: 42319/327497
第2915道答案: 7’2586733/57438540
第2916道答案: 8’419/1155
第2917道答案: 116068059/274397536
第2918道答案: 4’1701416/2225017
第2919道答案: 123514592/192140025
第2920道答案: 8296/8667
第2921道答案: 2’10961/54000
第2922道答案: 1568/91845
第2923道答案: 118097/269671
第2924道答案: 63135552/115276489
第2925道答案: 88525/95788
第2926道答案: 3’7849/570570
第2927道答案: 1’45683/246698
第2928道答案: 2’120446483/132951702
第2929道答案: 1637838/1640105
第2930道答案: 1257854534/1691631317
第2931道答案: 7’27616/111569
第2932道答案: 3’10493/31624
第2933道答案: 28405/57088
第2934道答案: 15333575/64554399
第2935道答案: 1051325477/1452424384
第2936道答案: 2’256325/330412
第2937道答案: 1390283/5596640
第2938道答案: 13’181259/299625
第2939道答案: 1’86777/416845
第2940道答案: 266930/1471561
第2941道答案: 139111699/292472928
第2942道答案: 195167/15385700
第2943道答案: 1’411997405/769606889
第2944道答案: 1’1183/4064
第2945道答案: 126470296/162802239
第2946道答案: 10’964/1965
第2947道答案: 163/195
第2948道答案: 14’404911/2703642
第2949道答案: 2’47935/69322
第2950道答案: 150049/236462
第2951道答案: 1’5479/5595
第2952道答案: 14’3811/4836
第2953道答案: 4251255/42321664
第2954道答案: 295562077/607727900
第2955道答案: 1’29351/71530
第2956道答案: 2’64284365/227728556
第2957道答案: 2’244392511/768701826
第2958道答案: 1’5958664/272822035
第2959道答案: 22445/182016
第2960道答案: 11’722/1115
第2961道答案: 1’17477/26049
第2962道答案: 303103475/2115510508
第2963道答案: 10’5366/5561
第2964道答案: 793179061/1585391592
第2965道答案: 171211/698130
第2966道答案: 50960/192589
第2967道答案: 12319/115868
第2968道答案: 1’18672767/495987524
第2969道答案: 1’65117/292485
第2970道答案: 3456819/30477460
第2971道答案: 169/28347
第2972道答案: 1’142951/160633
第2973道答案: 12’14549029/33796384
第2974道答案: 6’452910/1347563
第2975道答案: 1’149811/377128
第2976道答案: 34532/88051
第2977道答案: 1’12017/42911
第2978道答案: 74’217/608
第2979道答案: 18’2530998/3489731
第2980道答案: 1’457693/7248390
第2981道答案: 48’40897105/42111208
第2982道答案: 7’36602/84071
第2983道答案: 37’8621/10063
第2984道答案: 55890301/100926380
第2985道答案: 1’905/2599
第2986道答案: 1’25679/31671
第2987道答案: 2’77062/97053
第2988道答案: 5’395413/5690646
第2989道答案: 4’143273844/494340529
第2990道答案: 1’105953/4661582
第2991道答案: 2’132798/282905
第2992道答案: 3’28927/90395
第2993道答案: 1’56876959/141937148
第2994道答案: 1’46933/175275
第2995道答案: 513744/603161
第2996道答案: 8042687/47386290
第2997道答案: 24’143479/419040
第2998道答案: 15022/243459
第2999道答案: 499421/554288
第3000道答案: 1’7758203/8240176
第3001道答案: 3’3316499/3440892
第3002道答案: 4’32563/48776
第3003道答案: 54’23300/694351
第3004道答案: 4’1777/1905
第3005道答案: 23664/39421
第3006道答案: 16283607/378901817
第3007道答案: 1’22301813/258504459
第3008道答案: 11’14323/165240
第3009道答案: 1’89857/555225
第3010道答案: 21’63/116
第3011道答案: 159895/292934
第3012道答案: 12041/16920
第3013道答案: 5’37614400/90918443
第3014道答案: 638587/955504
第3015道答案: 9721104/82291787
第3016道答案: 2’14611/46276
第3017道答案: 6’8307107/36303370
第3018道答案: 6’22447/34832
第3019道答案: 5’385/808
第3020道答案: 85305061/216339130
第3021道答案: 8360965/115635702
第3022道答案: 153564/322103
第3023道答案: 3’71943/302243
第3024道答案: 10’41459193/41927635
第3025道答案: 1’49777925/199649331
第3026道答案: 17’304/1595
第3027道答案: 14921/98071
第3028道答案: 14’89/203
第3029道答案: 25’51/106
第3030道答案: 1’4383/8968
第3031道答案: 6870318/126115949
第3032道答案: 5’3506/3893
第3033道答案: 9’98076567/189593600
第3034道答案: 12034391/87227910
第3035道答案: 8’8691/17110
第3036道答案: 2’2047/21276
第3037道答案: 82841/152070
第3038道答案: 234532612/283681233
第3039道答案: 1’145050377/322861384
第3040道答案: 17804231/23673305
第3041道答案: 1’4525204/32849979
第3042道答案: 2’5007799/8955534
第3043道答案: 20’21263/55160
第3044道答案: 2’5213/13720
第3045道答案: 3476295/9078848
第3046道答案: 5’5578/11269
第3047道答案: 61376/133171
第3048道答案: 22’20438/26101
第3049道答案: 3’123093969/605981086
第3050道答案: 1’198393/713252
第3051道答案: 326/637
第3052道答案: 18513/212176
第3053道答案: 8’37352/45725
第3054道答案: 303/110336
第3055道答案: 1446480/40461551
第3056道答案: 652031881/1193083906
第3057道答案: 241697/21893130
第3058道答案: 1792134095/1795708104
第3059道答案: 6’3233/10428
第3060道答案: 4’624857/11611236
第3061道答案: 1’2067/6419
第3062道答案: 92’419/780
第3063道答案: 52603895/59607504
第3064道答案: 1’16723573/25934600
第3065道答案: 5’5782179/13811959
第3066道答案: 243’11/2983
第3067道答案: 2’527417/1092182
第3068道答案: 2’24326917/465391304
第3069道答案: 3’309587/2006940
第3070道答案: 4’16744037/47189220
第3071道答案: 2’79/420
第3072道答案: 4’10528264/53351225
第3073道答案: 8’18527841/24302960
第3074道答案: 1’118493/633650
第3075道答案: 21’316457/332290
第3076道答案: 3’2636/4995
第3077道答案: 13’8026/8531
第3078道答案: 5’9595741/13752900
第3079道答案: 4329/21413
第3080道答案: 1’35097/71531
第3081道答案: 2’15253913/28984725
第3082道答案: 1’453/803
第3083道答案: 1’171581/676780
第3084道答案: 1’2029967/5080708
第3085道答案: 54’134726/937825
第3086道答案: 8’64311/110044
第3087道答案: 1’21541/95172
第3088道答案: 4’141477559/146331163
第3089道答案: 39014/76395
第3090道答案: 2’2057/23316
第3091道答案: 3926527/4380276
第3092道答案: 154199107/2139597251
第3093道答案: 1001/5970
第3094道答案: 1’54403/1083060
第3095道答案: 376’188485/945294
第3096道答案: 327120/465047
第3097道答案: 57400101/509286400
第3098道答案: 1’14961755/182926848
第3099道答案: 5’16928887/32153100
第3100道答案: 363649/9700830
第3101道答案: 13’555/1079
第3102道答案: 1’94019/2876800
第3103道答案: 1’159029629/240159465
第3104道答案: 1491936565/1542184369
第3105道答案: 4432798/14336227
第3106道答案: 1’6874179/10425641
第3107道答案: 5’89842391/91188029
第3108道答案: 4’87211966/103717075
第3109道答案: 35777/225429
第3110道答案: 18332256/314750915
第3111道答案: 7’15825499/25217460
第3112道答案: 23258757/143629024
第3113道答案: 1’21632969/28191136
第3114道答案: 20776045/36574788
第3115道答案: 1’28238878/65343081
第3116道答案: 1’205243/266266
第3117道答案: 5’3805/7488
第3118道答案: 1’1797402/2971163
第3119道答案: 2’839/2583
第3120道答案: 7’479/1216
第3121道答案: 1’3029389/4528250
第3122道答案: 61141129/98113335
第3123道答案: 174075/267574
第3124道答案: 1’1940437/2088450
第3125道答案: 1’894448607/1122140939
第3126道答案: 1’17208662/24461969
第3127道答案: 96425009/147493359
第3128道答案: 1’100538743/830704960
第3129道答案: 3’25415/96544
第3130道答案: 5’41052533/45785250
第3131道答案: 589359/773645
第3132道答案: 19539/57112
第3133道答案: 1’159127/188552
第3134道答案: 69’429/1379
第3135道答案: 45816/227555
第3136道答案: 2’31094/66043
第3137道答案: 3’26066641/34822590
第3138道答案: 1’29720661/346117864
第3139道答案: 174378853/607762343
第3140道答案: 25381226/68712875
第3141道答案: 2’14809/69917
第3142道答案: 142898875/368727228
第3143道答案: 2’7069/8023
第3144道答案: 2’2100640/2389789
第3145道答案: 2’174/3145
第3146道答案: 7’2042233/7681586
第3147道答案: 257985/290179
第3148道答案: 35’8929/28680
第3149道答案: 3’12773875/15177396
第3150道答案: 3’698141/7780420
第3151道答案: 25’4241/13516
第3152道答案: 7’4001/17560
第3153道答案: 149’2181/5680
第3154道答案: 520382832/1786549891
第3155道答案: 12558/81091
第3156道答案: 4’84/155
第3157道答案: 10’14930/19899
第3158道答案: 88348541/543936960
第3159道答案: 1’33175/69258
第3160道答案: 40’568/1365
第3161道答案: 2’263118/273911
第3162道答案: 4’225401/1030140
第3163道答案: 1’51417/69608
第3164道答案: 3271450/14301239
第3165道答案: 26445/30488
第3166道答案: 3’8953/17533
第3167道答案: 1’21647651/55540224
第3168道答案: 4’1517746/1718515
第3169道答案: 4027/9100
第3170道答案: 1’11366/121085
第3171道答案: 33135/59251
第3172道答案: 1’307/6532
第3173道答案: 4’180071/248640
第3174道答案: 946/63135
第3175道答案: 8’7554041/8749216
第3176道答案: 1’17388973/613050019
第3177道答案: 11’10254289/71535451
第3178道答案: 1’305507/18829688
第3179道答案: 1’2449/3585
第3180道答案: 2’1755727/2337117
第3181道答案: 186298/242505
第3182道答案: 1’17284531/216167260
第3183道答案: 2’29017/37680
第3184道答案: 7023101/207623388
第3185道答案: 2724980/3381147
第3186道答案: 205947/304985
第3187道答案: 2’103958/113615
第3188道答案: 2’823524/1145605
第3189道答案: 750/3151
第3190道答案: 32915/169454
第3191道答案: 1280/25531
第3192道答案: 690’1721/2365
第3193道答案: 2’4189009/11947154
第3194道答案: 55745421/56873960
第3195道答案: 19’58657/72036
第3196道答案: 1’22841/374539
第3197道答案: 234789722/2092224393
第3198道答案: 28’6133/18854
第3199道答案: 218520125/390677468
第3200道答案: 1’82183/90288
第3201道答案: 2097001/13949040
第3202道答案: 3’221887/1014720
第3203道答案: 8’1603465/5554332
第3204道答案: 2’18485/36153
第3205道答案: 15’95/182
第3206道答案: 385703863/979700128
第3207道答案: 7/19448
第3208道答案: 41/180
第3209道答案: 230518431/505528372
第3210道答案: 2’17162/17545
第3211道答案: 7’399389/1058805
第3212道答案: 8’25653/83002
第3213道答案: 1’6377347/15241061
第3214道答案: 4’36291/55000
第3215道答案: 1’12347721/32122573
第3216道答案: 2’90044/739575
第3217道答案: 1’3440957/3476868
第3218道答案: 14’9241/13440
第3219道答案: 3016466/9356795
第3220道答案: 22869/25415
第3221道答案: 50’352739/1043748
第3222道答案: 63’9774491/10424908
第3223道答案: 229910/1109081
第3224道答案: 2’181162547/220777986
第3225道答案: 18’1757/1770
第3226道答案: 4’543017/1246910
第3227道答案: 19’22216/70623
第3228道答案: 1’2651/21229
第3229道答案: 71761639/87304104
第3230道答案: 1’72171/127946
第3231道答案: 665881/13841748
第3232道答案: 2’334756943/711391090
第3233道答案: 569717632/595449225
第3234道答案: 16400/262143
第3235道答案: 63’7409951/17212160
第3236道答案: 1’12641413/20619102
第3237道答案: 4’18210/78257
第3238道答案: 1160391253/1744159036
第3239道答案: 321498/22603921
第3240道答案: 1’2297942/3146239
第3241道答案: 11017/12870
第3242道答案: 533/15390
第3243道答案: 1’15803/81672
第3244道答案: 4’5086019/11553516
第3245道答案: 3’24667837/87744512
第3246道答案: 2’550/577
第3247道答案: 3’7602571/7993867
第3248道答案: 1’203243/530206
第3249道答案: 1’20777/86240
第3250道答案: 1’316183/403560
第3251道答案: 80712/264775
第3252道答案: 372011411/1487275392
第3253道答案: 523585723/764026240
第3254道答案: 2’30491/55074
第3255道答案: 19027961/242430300
第3256道答案: 93499/1075029
第3257道答案: 33’3/16
第3258道答案: 2’39816/60451
第3259道答案: 1’398295409/533239304
第3260道答案: 4’44938/84177
第3261道答案: 76154579/521073732
第3262道答案: 10’4964/9251
第3263道答案: 370378765/1917073246
第3264道答案: 5’105277/372096
第3265道答案: 1’220400711/1079747707
第3266道答案: 4’6883733/12560530
第3267道答案: 31’231/290
第3268道答案: 60387370/69522219
第3269道答案: 62791019/187065396
